tweet id,label,full_text,created_at,user_screen_name,likes,retweets,replies
1557036782016937985,neutral,@miruruwaweru @EAukot @WChebukati @IEBCKenya 😂😂😂😂 Sasa Zima hio kitu umewasha,Tue Aug 09 16:11:11 +0000 2022,CassimMganga,2.0,0.0,0.0
1556850700445011974,neutral,@MarthaKarua @Ali_Manzu @WilliamsRuto Brazah mazza amesema amewasili mapema,Tue Aug 09 03:51:46 +0000 2022,mohamedkorshen,2.0,0.0,0.0
1556384563718504450,fake,@DidmusWaBarasa @WilliamsRuto oooooooh bungoma sio wakàazi kweli we ni jinga,Sun Aug 07 20:59:30 +0000 2022,kelvin_wekesaa,0.0,0.0,0.0
1557704685284458496,neutral,@Sam_Lulli @IEBCKenya @WilliamsRuto @OleItumbi @DrJuma_M @Ryan_Mucilih William Ruto na Jonathan Mueke wote wanaenda nyumbani ...utaambia watu nini ndugu..,Thu Aug 11 12:25:12 +0000 2022,McShayneX,2.0,0.0,0.0
1557361326485299200,neutral,@MigunaMiguna @WilliamsRuto @RailaOdinga Huyu anasema nini https://t.co/8cuekyCeFx,Wed Aug 10 13:40:49 +0000 2022,OngusoWycliffe,0.0,0.0,0.0
1558440428000710658,neutral,"@WilliamsRuto Shukrani mkuu ,,,",Sat Aug 13 13:08:47 +0000 2022,parsikore,1.0,0.0,0.0
1558364051058597889,neutral,@itsMJ_Ke @WilliamsRuto Umeanua liwe liwalo,Sat Aug 13 08:05:17 +0000 2022,Bookten8,1.0,0.0,1.0
1558166668827836418,neutral,@TubmanOdoyo @Lemeiyan @Mwaxmwenendry @Cjamehk @WilliamsRuto @RailaOdinga And again..itumbi never gave numbers as far as I recall..maybe refresh my memory,Fri Aug 12 19:00:57 +0000 2022,david_osore,0.0,0.0,1.0
1558165908060868609,neutral,@MigunaMiguna @RailaOdinga @WilliamsRuto @rigathi @miguna miguna anza kuhesabu masiku ya kurudi nyumbani ruto karibu anatangazwa,Fri Aug 12 18:57:56 +0000 2022,CopraBrian,0.0,0.0,0.0
1558134255716339712,neutral,@PEKIMA080 @OleItumbi @edwinsifuna @WilliamsRuto @MigunaMiguna @ahmednasirlaw Bomas mnatuchelewesha buana..@DidmusWaBarasa @MusaliaMudavadi @MigunaMiguna @WilliamsRuto @WChebukati https://t.co/UrdLgcW2Su,Fri Aug 12 16:52:09 +0000 2022,DkeryanthozEnt,2.0,0.0,0.0
1558077510172147712,neutral,Ile Miti ATWOLI ALISEMA TUKATE NDIO TUNATUMIA KAMA KUNI HAPA SUGOI YA KUCHOMEA NYAMA PAMOJA NA VYAKULA VINGINE TUKISUBURI WAMTANGAZE WILLIAM SAMOEI RUTO KAMA RAIS WA TANO😁😁..VINDU VICHENJANGA @kipmurkomen @OleItumbi @WilliamsRuto @AtwoliDza @NdindiNyoro https://t.co/U5lbRbf5dz,Fri Aug 12 13:06:40 +0000 2022,angaine_,2.0,0.0,0.0
1559206852805681152,neutral,@Its_Jaymo @WilliamsRuto Hehehe yaja,Mon Aug 15 15:54:17 +0000 2022,antoneosoul,1.0,0.0,0.0
1559233571755380737,neutral,@WilliamsRuto @MwendeCharles Karibu Rais!,Mon Aug 15 17:40:27 +0000 2022,AmbroseMwau,0.0,0.0,0.0
1559231322559848455,neutral,,,,,,
1560148695827488768,neutral,@Saitabao @WChebukati @WilliamsRuto Tuma hiyo ya raila na cherera pia,Thu Aug 18 06:16:49 +0000 2022,jumajamo,0.0,0.0,0.0
1560148297704169473,neutral,@FrenkieHag @MunaiG @DrMunyaka @RailaOdinga @skmusyoka @WilliamsRuto @rigathi His nothing is important to him! Kiburi ya watu wa Man U usilete hapa,Thu Aug 18 06:15:14 +0000 2022,MunganiaMurungi,1.0,0.0,0.0
1560143929995034625,neutral,@Cate_Waruguru @WilliamsRuto Mungu n mwema,Thu Aug 18 05:57:53 +0000 2022,Jeremy05310557,0.0,0.0,0.0
1560071874024980482,neutral,@DidmusWaBarasa @WilliamsRuto @AtwoliDza Hehe,Thu Aug 18 01:11:34 +0000 2022,selle_scientist,0.0,0.0,0.0
1560038339994177536,neutral,@roseokuyo @WilliamsRuto Ambia babako ampee,Wed Aug 17 22:58:19 +0000 2022,CohesiveMalone,0.0,0.0,0.0
1559999172949975041,neutral,@OdhizzRennish @WilliamsRuto Kaambie babako,Wed Aug 17 20:22:40 +0000 2022,CohesiveMalone,0.0,0.0,0.0
1559997561804562433,neutral,@mohamedkorshen @WilliamsRuto @BillowKerrow @Asmali77 @ahmednasirlaw @OleItumbi @FauziaAliHassan @FauzKhalid @DualeHon 😂😂😂 Sawa ndugu,Wed Aug 17 20:16:16 +0000 2022,Faisal_Kassim52,0.0,0.0,0.0
1559967197342072832,neutral,@MburuMose @OleItumbi @WilliamsRuto Kiburi huisha.,Wed Aug 17 18:15:37 +0000 2022,MrMire001,1.0,0.0,0.0
1559955942032445440,neutral,@WilliamsRuto Uliskia wapi,Wed Aug 17 17:30:53 +0000 2022,GeraldAntony4,0.0,0.0,0.0
1559954816532889601,neutral,@MigunaMiguna @WilliamsRuto Wewe kama ulitupwa huko Canada tulia na uchizi wako,Wed Aug 17 17:26:25 +0000 2022,GeraldAntony4,0.0,0.0,0.0
1559948913959895042,neutral,@hon_alicenganga @WilliamsRuto Wachana na huyo mlevi. Bado Ana lewa.,Wed Aug 17 17:02:58 +0000 2022,Omogusi2,0.0,0.0,0.0
1559946604697817091,neutral,@OtyArts @WilliamsRuto Atimize kile alisema,Wed Aug 17 16:53:47 +0000 2022,kilundeezy,2.0,0.0,1.0
1559932018934292480,neutral,@WilliamsRuto Huku ndio tutakua tukikukumbusha zile miradi zako.,Wed Aug 17 15:55:50 +0000 2022,booshyhannel,2.0,0.0,0.0
1559931788776046594,neutral,@MigunaMiguna @WilliamsRuto Utakuja naye? https://t.co/QTnrULzzP0,Wed Aug 17 15:54:55 +0000 2022,Oratorjames,3.0,0.0,1.0
1559929519099854851,neutral,@HassanOmarH @nikjaki @WilliamsRuto @MikeSonko @MohaJichoPevu @UDAKenya Hamjaskia?,Wed Aug 17 15:45:54 +0000 2022,KimNick_,1.0,0.0,0.0
1559900953683296256,neutral,@JerotichSeii @WilliamsRuto Ati udosi ataki?🤣🤣🤣🤣🤣🤣🤣,Wed Aug 17 13:52:23 +0000 2022,stevenadogo,3.0,0.0,1.0
1559897130143305728,neutral,@WilliamsRuto Nikuje uko maybe ntapata kachai mkubwa,Wed Aug 17 13:37:11 +0000 2022,OduorNguka,0.0,0.0,0.0
1559895918308106240,neutral,@otienojoshua64 @WilliamsRuto Kazi ya mganga hiyo.,Wed Aug 17 13:32:23 +0000 2022,LilKoima,1.0,0.0,0.0
1559879815775358977,neutral,@faiinjeeri @WilliamsRuto Wewe uko eneo lipi jijini,Wed Aug 17 12:28:23 +0000 2022,bedheuce,0.0,0.0,1.0
1559867126957105154,neutral,"@WilliamsRuto Si Uchawi, Ni Maombi.",Wed Aug 17 11:37:58 +0000 2022,LilKoima,12.0,0.0,1.0
1559845547942477825,neutral,@SuluhuSamia @WilliamsRuto Shukrani Raisi wa Jumuia ya Tanzania . Kenya tunawapenda sana watanzania,Wed Aug 17 10:12:13 +0000 2022,JobKimathi8,0.0,0.0,0.0
1559784781080051712,neutral,@EcEssie @HassanSMohamud @WilliamsRuto Unajua kupigana?,Wed Aug 17 06:10:45 +0000 2022,uzimacomrade,3.0,0.0,2.0
1559748148473511936,neutral,@GeneralMeakings @MwirigiKibaki @WilliamsRuto Unadai vipi?,Wed Aug 17 03:45:11 +0000 2022,itswkelly,0.0,0.0,1.0
1559639329139482639,neutral,@kiboi_japheth @RephaelTuju @HonMbeyu @IEBCKenya @WilliamsRuto Huyu anasumbuliwa na maradhi. Tumuelewi tu,Tue Aug 16 20:32:47 +0000 2022,402ead924c2d433,0.0,0.0,0.0
